Date,weighted_score_mean,weighted_score_std,weighted_score_min,weighted_score_max,weighted_score_sum,composite_score_mean,composite_score_std,confidence_mean,confidence_min,importance_sum,bullish_signal_sum,bearish_signal_sum,finbert_score_mean,vader_score_mean,keyword_score_mean,Headlines_count,net_sentiment,sentiment_intensity,news_volume,sentiment_range
2024-03-14,0.1373,0.1301,0.0414,0.2854,0.4118,0.1373,0.1301,0.5907,0.5242,3.0,1,0,-0.2413,0.2896,0.6667,3,1,0.1373,3,0.244
2024-03-15,0.3307,0.1303,0.2386,0.4228,0.6614,0.3307,0.1303,0.9292,0.8982,2.0,2,0,0.4206,-0.148,0.5,2,2,0.3307,2,0.1842
2024-03-18,-0.4875,,-0.4875,-0.4875,-0.4875,-0.4875,,0.8071,0.8071,1.0,0,1,-0.7708,-0.5106,0.0,1,-1,0.4875,1,0.0
2024-03-19,0.275,0.5917,-0.1434,0.6933,0.5499,0.275,0.5917,0.9279,0.9268,2.0,1,0,0.4366,-0.4226,0.4706,2,1,0.275,2,0.8367
2024-03-20,0.0772,0.0401,0.0489,0.1056,0.1544,0.0772,0.0401,0.7352,0.6373,2.0,0,0,-0.0629,-0.2066,0.5,2,0,0.0772,2,0.0567
2024-03-21,-0.0316,0.3805,-0.416,0.4263,-0.1266,-0.0316,0.3805,0.759,0.5153,4.0,1,2,-0.176,-0.4682,0.5,4,-1,0.0316,4,0.8423
2024-03-22,-0.0012,0.0126,-0.0101,0.0078,-0.0023,-0.0012,0.0126,0.8205,0.755,2.0,0,0,-0.1043,0.2549,0.0,2,0,0.0012,2,0.0179
2024-03-26,-0.1478,0.2562,-0.3289,0.0334,-0.2955,-0.1478,0.2562,0.7273,0.6538,2.0,0,1,-0.5255,-0.175,0.5,2,-1,0.1478,2,0.3623
2024-03-27,-0.0015,0.0145,-0.0118,0.0087,-0.003,-0.0015,0.0145,0.8101,0.6521,2.0,0,0,-0.1419,-0.4029,0.5,2,0,0.0015,2,0.020499999999999997
2024-03-28,-0.1249,0.1575,-0.2809,0.0854,-0.4994,-0.1249,0.1575,0.8466,0.5538,4.0,0,2,-0.2805,-0.298,0.25,4,-2,0.1249,4,0.36629999999999996
2024-04-01,0.0978,,0.0978,0.0978,0.0978,0.0978,,0.8231,0.8231,1.0,0,0,-0.7875,0.9578,1.0,1,0,0.0978,1,0.0
2024-04-02,0.3101,0.2909,0.1044,0.5158,0.6202,0.3101,0.2909,0.7432,0.5787,2.0,1,0,0.2266,0.234,0.5,2,1,0.3101,2,0.41140000000000004
2024-04-03,0.2531,0.285,0.0515,0.4546,0.5062,0.2531,0.285,0.9438,0.9421,2.0,1,0,0.4425,0.1591,0.0,2,1,0.2531,2,0.4031
2024-04-04,0.2143,0.3401,-0.0262,0.4547,0.4285,0.2143,0.3401,0.9118,0.8869,2.0,1,0,0.0332,0.2384,0.5,2,1,0.2143,2,0.4809
2024-04-05,-0.0712,0.3366,-0.4371,0.3462,-0.4273,-0.0712,0.3366,0.8484,0.7333,6.0,2,3,-0.3484,0.2649,0.1667,6,-1,0.0712,6,0.7833
